param_n_neighbors,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
3,0.9485981308411215,0.019825423771585467,0.9801516822152638,0.9681415929203541,0.9519962441460559,0.9367491490011078,1,0.051462745666503905,0.00648168918449156,0.043003511428833005,0.0012118164743303763,{'n_neighbors': 3},0.9579439252336449,0.9439252336448598,0.9158878504672897,0.9485981308411215,0.9766355140186916,0.9857618505213354,0.9818189783580129,0.9722684657846314,0.9720056076404101,0.9889035087719298,0.00691884333106784,1,0.9734513274336283,0.9823008849557522,0.911504424778761,0.9734513274336283,1.0,0.029931919513783656,1,0.9606986899563319,0.9487179487179487,0.9196428571428571,0.9523809523809523,0.9785407725321889,0.01917280064175136,1,0.9482758620689655,0.9173553719008265,0.9279279279279279,0.9322033898305084,0.957983193277311,0.014548857057149714,2
4,0.9205607476635513,0.03304237295264243,0.9725541626123487,0.9062723179630492,0.922483367832809,0.9416276388145117,2,0.060071372985839845,0.020906021932260085,0.03872871398925781,0.0031793165671730843,{'n_neighbors': 4},0.9252336448598131,0.9205607476635514,0.8598130841121495,0.9392523364485982,0.9579439252336449,0.9798475422763515,0.9742837115569963,0.9564531674406378,0.9673179707351266,0.9848684210526317,0.009944701486760152,2,0.8849557522123894,0.9380530973451328,0.7964601769911505,0.9557522123893806,0.956140350877193,0.060758869109841164,2,0.9259259259259259,0.925764192139738,0.8571428571428571,0.9432314410480349,0.960352422907489,0.03509001346814978,2,0.970873786407767,0.9137931034482759,0.9278350515463918,0.9310344827586207,0.9646017699115044,0.02218269427520324,1
5,0.8925233644859814,0.036436614373117626,0.966060257539494,0.9062723179630492,0.8983292350523426,0.8924231275085164,3,0.029432296752929688,0.02685515143509432,0.04444417953491211,0.011477738400877565,{'n_neighbors': 5},0.9018691588785047,0.883177570093458,0.8271028037383178,0.9205607476635514,0.9299065420560748,0.969377026198195,0.9658284412512048,0.9406816787873477,0.9752913344431788,0.9791228070175437,0.013497925264824904,3,0.8849557522123894,0.9380530973451328,0.7964601769911505,0.9557522123893806,0.956140350877193,0.060758869109841164,2,0.9049773755656109,0.8945147679324894,0.8294930875576036,0.927038626609442,0.9356223175965666,0.03744907556359492,3,0.9259259259259259,0.8548387096774194,0.8653846153846154,0.9,0.9159663865546218,0.02784888201216928,4
6,0.8654205607476637,0.028254610201553235,0.9547209507164037,0.844511721782332,0.8684581656910785,0.89626823023344,4,0.006199073791503906,0.0012596224579294172,0.042975759506225585,0.007286746758694593,{'n_neighbors': 6},0.8691588785046729,0.8644859813084113,0.8130841121495327,0.8925233644859814,0.8878504672897196,0.955270305791641,0.9556645930079735,0.9223692280732498,0.9671427319723123,0.9731578947368421,0.017561593117568254,4,0.8141592920353983,0.8938053097345132,0.7610619469026548,0.9026548672566371,0.8508771929824561,0.05241400065146065,20,0.8679245283018868,0.8744588744588745,0.8113207547169812,0.8986784140969163,0.8899082568807339,0.030575633544235904,4,0.9292929292929293,0.8559322033898306,0.8686868686868687,0.8947368421052632,0.9326923076923077,0.031007792190317615,3
7,0.842056074766355,0.035390834072451374,0.9461666812698969,0.8674739947213166,0.8525145928597236,0.8403537031444008,6,0.007924270629882813,0.002927780067493549,0.03866395950317383,0.005969127456643929,{'n_neighbors': 7},0.8457943925233645,0.8317757009345794,0.780373831775701,0.8738317757009346,0.8785046728971962,0.9444931218785594,0.947077893630071,0.9153158678699729,0.9622798563042144,0.9616666666666667,0.017060408866291742,5,0.8407079646017699,0.911504424778761,0.7699115044247787,0.9380530973451328,0.8771929824561403,0.058735691197156874,10,0.852017937219731,0.8512396694214877,0.7873303167420814,0.8870292887029289,0.8849557522123894,0.036040407874698484,5,0.8636363636363636,0.7984496124031008,0.8055555555555556,0.8412698412698413,0.8928571428571429,0.035401685459278916,11
8,0.8476635514018692,0.0355386043772552,0.937673815332162,0.8374320757646329,0.8524768053878983,0.8702169024522718,5,0.0065648555755615234,0.0014882123840762407,0.03803462982177734,0.0057236537212259735,{'n_neighbors': 8},0.8364485981308412,0.8271028037383178,0.7990654205607477,0.897196261682243,0.8785046728971962,0.9319635503373347,0.9371330938403575,0.9103215631297643,0.9584684132130028,0.9504824561403509,0.01659832393324994,6,0.8141592920353983,0.8584070796460177,0.7433628318584071,0.9203539823008849,0.8508771929824561,0.05811610733700039,24,0.8401826484018264,0.8398268398268398,0.7962085308056872,0.9043478260869565,0.8818181818181818,0.037493481589041505,6,0.8679245283018868,0.8220338983050848,0.8571428571428571,0.8888888888888888,0.9150943396226415,0.03117824553471705,5
9,0.8149532710280374,0.023753766405866957,0.9290235542417772,0.8604253997826425,0.8307406925090511,0.8039017705601648,28,0.006074094772338867,0.0009556083808712566,0.036702728271484374,0.004296119893506726,{'n_neighbors': 9},0.8130841121495327,0.7990654205607477,0.780373831775701,0.8411214953271028,0.8411214953271028,0.9229825637431,0.9281959169368265,0.906247261894331,0.9469902742486638,0.9407017543859648,0.01424865908935681,7,0.8672566371681416,0.8584070796460177,0.7964601769911505,0.9203539823008849,0.8596491228070176,0.039330209141942886,14,0.8305084745762712,0.8185654008438819,0.7929515418502202,0.859504132231405,0.8521739130434782,0.02392918706080479,26,0.7967479674796748,0.782258064516129,0.7894736842105263,0.8062015503875969,0.8448275862068966,0.021945423026921228,26
10,0.8177570093457944,0.023827193988751334,0.9258159954560895,0.8197484862598976,0.8259839481451909,0.8333457770176504,25,0.00665888786315918,0.0017788406550252758,0.036588859558105466,0.004952677941960686,{'n_neighbors': 10},0.8177570093457944,0.8130841121495327,0.780373831775701,0.822429906542056,0.8551401869158879,0.9254797161132042,0.9223692280732498,0.9050644002453342,0.9384911942521685,0.9376754385964912,0.012197778888793196,8,0.831858407079646,0.831858407079646,0.7433628318584071,0.8495575221238938,0.8421052631578947,0.038772342346762904,28,0.8281938325991189,0.8245614035087719,0.7813953488372093,0.8347826086956521,0.8609865470852018,0.025681311379396315,28,0.8245614035087719,0.8173913043478261,0.8235294117647058,0.8205128205128205,0.8807339449541285,0.02382601383331076,13
11,0.8158878504672897,0.01951459160544027,0.9253602847476177,0.8532836516068933,0.8300760638118427,0.8095055301357481,27,0.0064910888671875,0.0018566015982674517,0.03918876647949219,0.006271856874304418,{'n_neighbors': 11},0.8130841121495327,0.8130841121495327,0.7897196261682243,0.8130841121495327,0.8504672897196262,0.9278892491019013,0.9210987470428459,0.902786296328748,0.9377464295102076,0.9372807017543859,0.012881414838011982,9,0.8584070796460177,0.8849557522123894,0.7699115044247787,0.8584070796460177,0.8947368421052632,0.04410193400466504,17,0.8290598290598291,0.8333333333333334,0.7945205479452054,0.8290598290598291,0.864406779661017,0.022160631895943188,27,0.8016528925619835,0.7874015748031497,0.8207547169811321,0.8016528925619835,0.8360655737704918,0.01699348579684086,23
12,0.8252336448598131,0.024478132436838874,0.9242292853179123,0.8267815556590591,0.8328143241110663,0.84058393814605,20,0.005298709869384766,0.00038068797355523333,0.031315279006958005,0.0022037392496377785,{'n_neighbors': 12},0.8364485981308412,0.8037383177570093,0.7897196261682243,0.8411214953271028,0.8551401869158879,0.9250854288968721,0.9174187330237448,0.9052834486988522,0.939192149303426,0.9341666666666667,0.012072283763191253,10,0.8407079646017699,0.831858407079646,0.7345132743362832,0.8584070796460177,0.868421052631579,0.04788982459817415,26,0.8444444444444444,0.8173913043478261,0.7867298578199052,0.8508771929824561,0.8646288209606987,0.027695980620254655,25,0.8482142857142857,0.8034188034188035,0.8469387755102041,0.8434782608695652,0.8608695652173913,0.01949224035834111,10
