param_n_neighbors,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
3,0.8412499999999999,0.017047727121232325,0.8939439116739702,0.7991807475678444,0.7966821603153024,0.7982438536735839,28,0.07593913078308105,0.024514961707255235,0.1547107696533203,0.0309229332825053,{'n_neighbors': 3},0.83125,0.85,0.81875,0.8375,0.86875,0.8844634628044765,0.8907707412862051,0.8718703976435935,0.9126984126984128,0.9099165439371624,0.015453441253113135,28,0.7419354838709677,0.8253968253968254,0.6984126984126984,0.8571428571428571,0.873015873015873,0.0677196198738681,22,0.773109243697479,0.8125,0.7521367521367521,0.8059701492537313,0.8396946564885496,0.030745801032106095,27,0.8070175438596491,0.8,0.8148148148148148,0.7605633802816901,0.8088235294117647,0.01942372804745418,28
4,0.8525,0.021505813167606573,0.9165127363438448,0.7163338453661033,0.7901525176485926,0.8878893662358885,27,0.06487069129943848,0.023594335212746276,0.16270093917846679,0.026375795435418743,{'n_neighbors': 4},0.84375,0.85,0.81875,0.86875,0.88125,0.9013331138907176,0.9244804450990018,0.9038618883979709,0.9301260022909508,0.9227622320405826,0.011647544638989732,27,0.6451612903225806,0.7301587301587301,0.6190476190476191,0.7936507936507936,0.7936507936507936,0.07304394683525658,28,0.7619047619047619,0.7931034482758621,0.7289719626168224,0.8264462809917356,0.8403361344537815,0.0409520125595401,28,0.9302325581395349,0.8679245283018868,0.8863636363636364,0.8620689655172413,0.8928571428571429,0.024021825092166733,24
5,0.8712499999999999,0.01403121520040229,0.9285853982431018,0.8374807987711212,0.8356259586164241,0.8365149713890485,26,0.02693324089050293,0.023617410040027747,0.09729595184326172,0.07441891487978926,{'n_neighbors': 5},0.85625,0.88125,0.8625,0.89375,0.8625,0.9121955233706387,0.9281623302241859,0.9284896089019801,0.9487808869252168,0.9252986417934872,0.011725840622744427,26,0.8064516129032258,0.8412698412698413,0.7619047619047619,0.9047619047619048,0.873015873015873,0.04995676789390982,2,0.8130081300813008,0.848,0.8135593220338984,0.8702290076335878,0.8333333333333334,0.021699062882276045,25,0.819672131147541,0.8548387096774194,0.8727272727272727,0.8382352941176471,0.7971014492753623,0.026408925219207877,27
6,0.8762500000000001,0.029947871376777326,0.9375669168010848,0.7578597030209934,0.8263341085256224,0.9146689556793716,25,0.005835056304931641,0.0008414055608542185,0.035921335220336914,0.004779406955438694,{'n_neighbors': 6},0.8875,0.8875,0.83125,0.85625,0.91875,0.9387755102040817,0.936589756177385,0.9313532973326788,0.9437080674194077,0.9374079528718704,0.003968969847306733,25,0.7258064516129032,0.8095238095238095,0.6349206349206349,0.7777777777777778,0.8412698412698413,0.07233890537830652,27,0.8333333333333334,0.85,0.7476635514018691,0.8099173553719008,0.8907563025210085,0.047366336123109636,26,0.9782608695652174,0.8947368421052632,0.9090909090909091,0.8448275862068966,0.9464285714285714,0.0455166460743026,18
7,0.8787499999999999,0.012869537676233741,0.9459413296412679,0.8246287762416795,0.8417113210871356,0.8642506063528244,24,0.0060333251953125,0.0008291873876186692,0.041318845748901364,0.0037738594742712677,{'n_neighbors': 7},0.88125,0.9,0.8625,0.86875,0.88125,0.9496379196840027,0.9504172803141875,0.9361806578301423,0.9502536409752905,0.9432171494027164,0.005567527522852715,24,0.7580645161290323,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.8888888888888888,0.05405329904827399,13,0.831858407079646,0.8709677419354839,0.8135593220338984,0.8372093023255814,0.8549618320610687,0.019704808245643142,24,0.9215686274509803,0.8852459016393442,0.8727272727272727,0.8181818181818182,0.8235294117647058,0.038932148083117554,26
8,0.8887499999999999,0.01785357107135711,0.949975529508999,0.7673323092677931,0.8428664735662238,0.9396331794080091,22,0.006937646865844726,0.0021610166294015903,0.034035778045654295,0.003437445316721962,{'n_neighbors': 8},0.875,0.9,0.8625,0.89375,0.9125,0.9572086899275839,0.9488627065946653,0.9431353297332677,0.9577810505645556,0.9428898707249223,0.006503507312284125,23,0.7096774193548387,0.8095238095238095,0.6825396825396826,0.8253968253968254,0.8095238095238095,0.05906878921957532,26,0.8148148148148148,0.864406779661017,0.7962962962962963,0.859504132231405,0.8793103448275862,0.03170056527789116,23,0.9565217391304348,0.9272727272727272,0.9555555555555556,0.896551724137931,0.9622641509433962,0.024737416799228373,4
9,0.8875,0.0125,0.9540961678984864,0.8279057859703022,0.852118309896307,0.8807786762503744,23,0.005679798126220703,0.0012112843782662694,0.03345446586608887,0.005145484797792426,{'n_neighbors': 9},0.89375,0.88125,0.86875,0.8875,0.90625,0.9688117182356815,0.9509900180003272,0.9456717394861726,0.9658811978399607,0.9391261659302896,0.011490469726167145,22,0.7903225806451613,0.873015873015873,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.043619181823983805,9,0.8521739130434782,0.8527131782945736,0.8205128205128205,0.8571428571428571,0.8780487804878049,0.018422265329867883,22,0.9245283018867925,0.8333333333333334,0.8888888888888888,0.8571428571428571,0.9,0.032121572466040534,25
10,0.8949999999999999,0.022150056433336694,0.9598435849231611,0.7864823348694315,0.8535390848243513,0.9361158670912804,20,0.005287265777587891,0.0006840151267475548,0.0336298942565918,0.005345627739369433,{'n_neighbors': 10},0.8875,0.91875,0.85625,0.9,0.9125,0.9720210664911125,0.9681721485845197,0.9506627393225331,0.9680085092456227,0.9403534609720178,0.012234989797822685,21,0.7419354838709677,0.8571428571428571,0.6984126984126984,0.8253968253968254,0.8095238095238095,0.05792898986640232,25,0.8363636363636363,0.8925619834710744,0.7927927927927928,0.8666666666666667,0.8793103448275862,0.03562130231022867,21,0.9583333333333334,0.9310344827586207,0.9166666666666666,0.9122807017543859,0.9622641509433962,0.020734297794512732,6
11,0.89875,0.023184046238739254,0.960834715218534,0.8310291858678955,0.8644464033753312,0.902821663300203,15,0.005467367172241211,0.000739506353126197,0.03422832489013672,0.005785705397065624,{'n_neighbors': 11},0.88125,0.925,0.8625,0.9125,0.9125,0.9658492429229757,0.9690721649484536,0.9575355915562102,0.9728358697430862,0.938880706921944,0.012082147766848347,20,0.7741935483870968,0.9047619047619048,0.746031746031746,0.873015873015873,0.8571428571428571,0.06055769815171397,8,0.8347826086956521,0.9047619047619048,0.8103448275862069,0.8870967741935484,0.8852459016393442,0.03571531687092462,11,0.9056603773584906,0.9047619047619048,0.8867924528301887,0.9016393442622951,0.9152542372881356,0.009216563318279324,20
12,0.9025000000000001,0.02038688303787512,0.9616163192912681,0.8023553507424476,0.8647045844486012,0.9418810847268139,7,0.004994678497314453,0.0002494808821865691,0.030959320068359376,0.0017675442874115369,{'n_neighbors': 12},0.8875,0.91875,0.875,0.9,0.93125,0.9624753127057274,0.9748813614792996,0.9602356406480117,0.9705449189985272,0.9399443626247751,0.012066474927990385,19,0.7419354838709677,0.8571428571428571,0.7142857142857143,0.8412698412698413,0.8571428571428571,0.0615215417013341,20,0.8363636363636363,0.8925619834710744,0.8181818181818182,0.8688524590163934,0.907563025210084,0.03345941603704809,10,0.9583333333333334,0.9310344827586207,0.9574468085106383,0.8983050847457628,0.9642857142857143,0.024622965765323947,3
13,0.9012499999999999,0.026925824035672518,0.9618916782986335,0.8342037890424987,0.8674213393491399,0.9063421699836738,10,0.006562042236328125,0.0018793545078244047,0.04521031379699707,0.00685918149453516,{'n_neighbors': 13},0.875,0.925,0.8625,0.91875,0.925,0.9600065832784727,0.9768450335460644,0.9561446571755849,0.9711994763541155,0.9452626411389298,0.011165524167544617,18,0.7741935483870968,0.8888888888888888,0.7301587301587301,0.9047619047619048,0.873015873015873,0.06914027619714162,5,0.8275862068965517,0.9032258064516129,0.8070175438596491,0.8976377952755905,0.9016393442622951,0.04147607074093541,8,0.8888888888888888,0.9180327868852459,0.9019607843137255,0.890625,0.9322033898305084,0.01659105909316063,19
14,0.9,0.031374750995027845,0.9632688880895447,0.8055811571940603,0.8611431412086528,0.9298958337914736,12,0.005015039443969726,0.0005557082336392332,0.029932260513305664,0.0010713608107404454,{'n_neighbors': 14},0.8875,0.91875,0.84375,0.925,0.925,0.9623107307439105,0.9752904598265423,0.9589265259368351,0.9709540173457699,0.9488627065946653,0.009283228302054735,17,0.7580645161290323,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.8571428571428571,0.08223437580470237,18,0.8392857142857143,0.8925619834710744,0.7706422018348624,0.9032258064516129,0.9,0.050864755926717554,16,0.94,0.9310344827586207,0.9130434782608695,0.9180327868852459,0.9473684210526315,0.012910583028414552,9
